"","year","title","clean_test","binary","genre","imdb_rating","metascore","country","rated","budget_2013","clean_genre","clean_country"
"1",2013,"21 &amp; Over","notalk","FAIL",NA,NA,NA,NA,NA,13000000,NA,NA
"2",2012,"Dredd 3D","ok","PASS",NA,NA,NA,NA,NA,45658735,NA,NA
"3",2013,"12 Years a Slave","notalk","FAIL","Biography, Drama, History",8.3,97,"USA, UK","R",20000000,"Biography","USA"
"4",2013,"2 Guns","notalk","FAIL","Action, Comedy, Crime",6.8,55,"USA","R",61000000,"Action","USA"
"5",2013,"42","men","FAIL","Biography, Drama, Sport",7.6,62,"USA","PG-13",40000000,"Biography","USA"
"6",2013,"47 Ronin","men","FAIL","Action, Adventure, Fantasy",6.6,29,"USA","PG-13",225000000,"Action","USA"
"7",2013,"A Good Day to Die Hard","notalk","FAIL","Action, Crime, Thriller",5.4,28,"USA","R",92000000,"Action","USA"
"8",2013,"About Time","ok","PASS","Drama, Fantasy, Romance",7.8,55,"UK","R",12000000,"Drama","UK"
"9",2013,"Admission","ok","PASS","Comedy, Drama, Romance",5.7,48,"USA","PG-13",13000000,"Comedy","USA"
"10",2013,"After Earth","notalk","FAIL","Action, Adventure, Sci-Fi",5,33,"USA","PG-13",130000000,"Action","USA"
"11",2013,"American Hustle","ok","PASS","Crime, Drama",7.5,90,"USA","R",40000000,"Crime","USA"
"12",2013,"August: Osage County","ok","PASS","Drama",7.4,58,"USA","R",25000000,"Drama","USA"
"13",2013,"Beautiful Creatures","ok","PASS","Drama, Fantasy, Romance",6.2,52,"USA","PG-13",50000000,"Drama","USA"
"14",2013,"Blue Jasmine","ok","PASS","Comedy, Drama",7.4,78,"USA","PG-13",18000000,"Comedy","USA"
"15",2013,"Captain Phillips","notalk","FAIL","Biography, Drama, Thriller",8,83,"USA","PG-13",55000000,"Biography","USA"
"16",2013,"Carrie","ok","PASS","Drama, Horror",6,53,"USA","R",30000000,"Drama","USA"
"17",2013,"Cloudy with a Chance of Meatballs 2","nowomen","FAIL","Animation, Comedy, Family",6.5,59,"USA","PG",78000000,"Animation","USA"
"18",2013,"Despicable Me 2","ok","PASS","Animation, Adventure, Comedy",7.6,62,"USA","PG",76000000,"Animation","USA"
"19",2013,"Elysium","ok","PASS","Action, Drama, Sci-Fi",6.7,61,"USA","R",120000000,"Action","USA"
